Name,Credentials
Aleenia Nakamura,"Clinical Social Work/Therapist, LMSW"
Aleeza Michael-Tabrizi,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Alejandra (Allie) Sandoval,"Counselor, LCPC"
Alejandro Añez Crespo,"Pre-Licensed Professional, MS,  MBA"
Aleksandr Kronik,"Psychologist, ScD"
Alem Asefa,"Counselor, LGPC"
Alena R. Alsruhe,"Counselor, MA, LCPC, NCC, CPT"
Alesha Leonard,Licensed Clinical Professional Counselor
Alesha Leonard,"Counselor, LCPC"
Alessandra Slavin,"Clinical Social Work/Therapist, MSW, LCSW-C"
Alex Abramowicz,"Psychologist, PsyD"
Alex Berthé,"Clinical Social Work/Therapist, LCSW-C"
Alex Bleiweis,"Clinical Social Work/Therapist, LCSW-C"
Alex Duncan,"Licensed Clinical Professional Counselor, LCPC"
Alex Hind,"Counselor, MA, LGPC"
Alex Hittman,"Psychologist, PsyD"
Alex Rennich,"Counselor, LGPC"
Alex Samets,"Clinical Social Work/Therapist, LCSW-C, MSW, MFA"
Alex Shiflett,"Counselor, LMHC"
Alex Smith,"Psychologist, PsyD"
Alex Wood,"Clinical Social Work/Therapist, LCSW-C"
Alexa Curtis,"Clinical Social Work/Therapist, LCSW-C, MSW"
Alexa Hollinshead,"Psychologist, PsyD"
Alexa Rich,"Licensed Clinical Professional Counselor, LCPC, LCADC, MAC"
Alexander Amico,"Clinical Social Work/Therapist, LCSW"
Alexander Gorodetsky,"Licensed Professional Counselor, MA, LPC"
Alexander Jasion,"Counselor, MS, LCPC"
Alexander Persons,"Clinical Social Work/Therapist, LCSW-C, MPH"
Alexander Purring,"Psychologist, PsyD"
Alexander Tice,"Psychologist, PsyD"
Alexandra (Alex) Huss,"Clinical Social Work/Therapist, LCSW-C"
Alexandra Abell,"Clinical Social Work/Therapist, LCSW-C"
Alexandra Bradford,"Clinical Social Work/Therapist, LCSW-C"
"Alexandra Elizabeth, LCPC, LLC","Licensed Professional Counselor, LCPC"
Alexandra Goerl Rickeman,"Marriage & Family Therapist, LCMFT"
Alexandra Goldstein,Pre-Licensed Professional
Alexandra Greer,"Clinical Social Work/Therapist, LMSW"
Alexandra Jacobi,"Licensed Professional Counselor, MS, LPC, LCPC"
Alexandra Jeffery,"LMHC, LPCP"
Alexandra L. Flynn,"Clinical Social Work/Therapist, LMSW"
Alexandra Ling,"Clinical Social Work/Therapist, LCSW-C"
"Alexandra Mai, LMSW — Anxiety, Addiction, Biplolar","LMSW, LCSW"
Alexandra McNulty,"Clinical Social Work/Therapist, LCSW-C, BCHN"
Alexandra Morella,"Counselor, MS, LCPC"
Alexandra Paz Y Miño,"Clinical Social Work/Therapist, LCSW-C"
Alexandra Roe,"Licensed Clinical Professional Counselor, LCPC, NCC, CCTP"
Alexandra Simione,"Marriage & Family Therapist, LCMFT"
Alexandra Swe,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Alexandra Wimberly,"Clinical Social Work/Therapist, LMSW, PhD"
Alexandra Zellner,"Counselor, MS, LCPC"
Alexandria Diaz-Shovan,"Clinical Social Work/Therapist, LMSW"
Alexcia R. Wattie,"Clinical Social Work/Therapist, MSW, LMSW"
Alexey Tolchinsky,"Psychologist, PsyD"
Alexia Dorian Luka,"Clinical Social Work/Therapist, LCSW-C, LICSW, CCDC"
Alexia N. Smith,"Counselor, MS, LCPC"
Alexis de la Rosa,"Counselor, MS, LGPC, NCC"
Alexis Horst,"Licensed Clinical Professional Counselor, LCPC"
Alexis M Roberson,"Counselor, LCPC, LPC"
Alexis Mete,"Clinical Social Work/Therapist, LMSW"
Alexis Powers,"Counselor, MS, LCPC"
"Alexis Vauss — Kids, Teens, Adults: Gain Balance",LMSW
Aleyna Fitz,"Counselor, LGPC"
Ali Hagopian Miller,Pre-Licensed Professional
Ali Kram Mogan,"Clinical Social Work/Therapist, LCSW-C"
Ali Weisbrot,"Clinical Social Work/Therapist, LICSW, LCSW-C"
Alia A Merraro,"Licensed Clinical Professional Counselor, MS, LCPC-S, NCC"
Alice 'tina' Hunley,"Licensed Clinical Professional Counselor, LCPC"
Alice Dorsey O'Donnell,"Clinical Social Work/Therapist, LCSWC"
Alice Joe,"Counselor, MS, LGPC"
Alice Jonas,"APRN, LCPC"
Alice Sixbey,"Clinical Social Work/Therapist, LCSW-C"
Alice Wysocki,"Counselor, LGPC"
Alicia Abell,"Psychologist, PhD"
Alicia Bailey,"Clinical Social Work/Therapist, LICSW"
"Alicia Beltran, LCPC and Associates, LLC","Counselor, LCPC, CST"
"Alicia Flanagan, MSW, LCSWC","Clinical Social Work/Therapist, MSW, LCSWC"
Alicia Jefferson,"Clinical Social Work/Therapist, LCSW-C, CSM"
Alicia Joseph Baker,"Clinical Social Work/Therapist, LCSW-C"
Alicia Little Hodge,"Psychologist, PsyD"
Alicia M Dorn,"Counselor, MS, LCPC"
Alicia Mays,"Clinical Social Work/Therapist, LCSW -C"
Alicia Shamblin,"Clinical Social Work/Therapist, LMSW"
Alieu Daramy,Clinical Social Work/Therapist
Alieu Daramy,"Clinical Social Work/Therapist, LCSW-C"
Alis Africano,"Counselor, LCPC"
Alisa Hoffman,"Psychologist, PhD"
Alisa L Robison,Pre-Licensed Professional
Alisa Marie Lewis,"Clinical Social Work/Therapist, LICSW, PhD"
Alisha S Clark,"Counselor, LGPC"
Alisha Wolf,"Clinical Social Work/Therapist, LCSW-C, MPH"
Alisia Mitchell,"Clinical Social Work/Therapist, LCSW-C, RPT, DWF"
Alison Ackerley,"Licensed Clinical Professional Counselor, LCPC"
Alison Carr,"Clinical Social Work/Therapist, LMSW"
Alison Dagger,"Licensed Clinical Professional Counselor, LCPC, LPC, LPMT, MT-BC"
Alison Dodd,"MA, LCPC"
Alison Dorsky,"Clinical Social Work/Therapist, LCSW-C"
Alison Fellowes Comly,"Clinical Social Work/Therapist, LICSW"
Alison Gartner,"Psychologist, PhD"
Alison Hamilton,"Clinical Social Work/Therapist, LCSW-C"
Alison Huang,"Counselor, LCPC, NCC"
"Alison J. Bomba, Psy.D., LLC","Psychologist, PsyD"
Alison Johnson,"Clinical Social Work/Therapist, LCSWC"
Alison Johnson,"Clinical Social Work/Therapist, LCSW-C"
Alison Johnson,"Clinical Social Work/Therapist, LCSW"
Alison Russell,"Clinical Social Work/Therapist, LCSW-C"
Alison Vooris,"Counselor, LCPC"
Aliya Gladden,"Clinical Social Work/Therapist, LCSW-C"
Aliza Ada Scharf-Bendov,"Clinical Social Work/Therapist, LCSWC"
Aliza Graber,"Clinical Social Work/Therapist, LCSW-C"
Aliza Reinstein,Pre-Licensed Professional
All By The Grace.LLC,"Clinical Social Work/Therapist, LCSW-C"
All Is Well Inc.,"Clinical Social Work/Therapist, PhD, MSW, LCSW-C"
All Is Well Therapeutic Services,"Licensed Professional Counselor, LCPC-S, LPC"
"All Things Renewed, LLC","Clinical Social Work/Therapist, LCSW-C"
All Things Simple LLC,"Licensed Clinical Professional Counselor, LCPC"
Allan Tsai,"Clinical Social Work/Therapist, LCSW, PhD"
Allegany Counseling & Consulting Services,"Licensed Clinical Professional Counselor, LCPC"
Allen-Ayuk Behavioral Health Center,Clinical Social Work/Therapist
Allera Akpan,"Licensed Clinical Professional Counselor, LCPC"
Alli Clayton,"Clinical Social Work/Therapist, LCSW-C"
Alliance Wellness Solutions,"Licensed Clinical Professional Counselor, LGPC"
Allie Neuman,Pre-Licensed Professional
Allie Pearlman Sax,"Clinical Social Work/Therapist, LCSW-C, PMH-C"
Allied Counseling Group,"Drug & Alcohol Counselor, LCADC, SAP"
Allison Ackerman,"Counselor, LCPC, MA"
Allison Allen,"Clinical Social Work/Therapist, LMSW"
Allison Banbury,"Licensed Clinical Professional Counselor, MEd, LPC, NCC"
Allison Berg-Lewis,"Clinical Social Work/Therapist, LCSW-C , LICSW"
Allison Brown,"Licensed Clinical Professional Counselor, LCPC, NCC, RPT"
Allison Brown,"Marriage & Family Therapist, LCMFT"
Allison Cohn,"Clinical Social Work/Therapist, LCSW-C"
Allison Ferdinand Lewis,"Clinical Social Work/Therapist, MSW, LCSWC"
Allison Gonzalez,"Clinical Social Work/Therapist, LCSW-C"
"Allison Griffin, LCSW-C, LLC","Clinical Social Work/Therapist, LCSW-C"
Allison Hoke,"Counselor, LGPC"
Allison Innocent,"Clinical Social Work/Therapist, LCSW-C"
Allison J Zweig,"Clinical Social Work/Therapist, MSW, LCSW-C, PMH-C"
Allison Jensen,"Counselor, LCPC, NCC"
Allison Kirsch,Clinical Social Work/Therapist
Allison Klein,"Counselor, LCPC"
Allison Lewis,"Clinical Social Work/Therapist, LMSW"
Allison McQuaid,"Counselor, LCPC, PMH-C"
Allison Mitchell,"Clinical Social Work/Therapist, MSW, LCSW"
Allison Moberly,"Licensed Clinical Professional Counselor, LCPC, CSC-AD"
Allison S Nordlinger,"Clinical Social Work/Therapist, LCSW-C"
Allison Schroeder,"Marriage & Family Therapist, PhD, LCMFT"
Allison Shuff,Pre-Licensed Professional
Allison Simon,"Clinical Social Work/Therapist, LCSW,  LCSW-C"
Allison Sugarman,"Pre-Licensed Professional, MPP"
Allison Sztajer,"Clinical Social Work/Therapist, LCSW-C"
Allison Tate-Booker,"Licensed Clinical Professional Counselor, MS, MEd, LCPC, BC-TMH"
Allyson Nedzbala,"Clinical Social Work/Therapist, LCSW-C"
Allyson Watson,"Marriage & Family Therapist, LMFT, LCMFT, MPM"
Allyssa Lanza,"Psychologist, PsyD"
Alondra Perez,"Counselor, MS, LCPC"
Alta Healthcare Services,"Clinical Social Work/Therapist, LCSW"
Alvaro Quintana,Pre-Licensed Professional
Alyna Rushing,"Counselor, LCPC, CAC-AD"
Alysha Menkis,"Counselor, MS, LCPC, CCATP"
Alyson Davis,"Marriage & Family Therapist, LMFT, LCMFT"
Alyson Henry,"Clinical Social Work/Therapist, LCSW-C"
Alyson St Amand,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Alyssa Baker,"Clinical Social Work/Therapist, LMSW"
Alyssa Budros,"Clinical Social Work/Therapist, MSW, LCSW-C"
Alyssa C Taylor,"Clinical Social Work/Therapist, LCSW-C"
Alyssa Duda,"Clinical Social Work/Therapist, LCSW-C, RYT-200"
Alyssa Einhorn,"Art Therapist, LGPAT"
Alyssa Louise McCall,"Clinical Social Work/Therapist, MSW, LICSW"
Alyssa Shores,"Clinical Social Work/Therapist, LCSW-C"
Alyssa Toran,"Clinical Social Work/Therapist, LCSW-C"
"AMA Transitional Services, LLC","Counselor, LCPC, LPC"
Amanda (Amy) Miles,"Licensed Clinical Professional Counselor, LCPC"
Amanda Allison,"Counselor, MA, LCPC"
Amanda Bechtel,"Licensed Clinical Professional Counselor, MS, ATR-BC, LCPC, LCPAT"
Amanda Castellano,"Counselor, MS, LCPC"
Amanda Cornaglia,"Counselor, MS, LGPC"
Amanda Dennehy,"Licensed Clinical Professional Counselor, MA , LCPC"
Amanda Fincher,"Licensed Professional Counselor, MEd, LCPC"
Amanda Garner,"Clinical Social Work/Therapist, LCSW-C"
Amanda Garratt,"Clinical Social Work/Therapist, LCSW-C, EMDR"
Amanda Gibbons,"Clinical Social Work/Therapist, MSW, LCSW-C"
Amanda Hale,"Licensed Clinical Professional Counselor, LCPC"
Amanda Hayden,"Clinical Social Work/Therapist, LCSW-C"
Amanda Hopkins,"Clinical Social Work/Therapist, MSW, LCSW-C, LICSW"
Amanda J Enright,"Licensed Clinical Professional Counselor, LCPC"
Amanda Lowman,"Counselor, LGPC"
Amanda Marie Jones,"Psychologist, PhD"
Amanda Mason,"Counselor, LGPC, NCC"
Amanda McLaughlin,PhD
Amanda Mendizabal,"Clinical Social Work/Therapist, MSS, LCSW-C, LICSW"
Amanda Menke,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Amanda Newswanger,"MEd, LCPC, NCC"
Amanda Pare Court,"Counselor, NCC, LCPC, PhD"
Amanda Pearson-Carmody,"Clinical Social Work/Therapist, LCSW"
Amanda Peterson,"Counselor, LGPC"
Amanda Rahimi,"Psychologist, PhD"
Amanda Roberts Emdr Therapy,"Psychologist, PhD, MA"
Amanda Schlossberg,"Licensed Clinical Professional Counselor, LCPC, NCC"
Amanda Schmidt,"Counselor, MS, LCPC"
Amanda Shrekenhamer,"Licensed Clinical Professional Counselor, LCPC, LPC"
Amanda Skowron Romano,"Psychologist, PsyD"
Amanda Steinhorn,"Counselor, LCPC, ATR-BC"
Amanda Thompson,"Clinical Social Work/Therapist, RBT, LMSW"
Amanda Valltos,"Clinical Social Work/Therapist, LCSW"
Amanda Weaver,"Licensed Clinical Professional Counselor, MS, LCPC"
Amanda Wiemken,"Psychologist, PsyD"
Amanda Wiggins,"Marriage & Family Therapist, MS, LCMFT"
Amarachi Onyima,"Counselor, MS, LCPC, LPC, NCC"
Amarilys Galloza Carrero,"Psychologist, PhD"
Amaris Gale,"Clinical Social Work/Therapist, LCSW-C"
Amaris Watson Gale,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Amber Ariemma,"Counselor, LCPC, NCC, CCTP"
Amber Berkhart,"Counselor, LCPC"
Amber Conklin,Pre-Licensed Professional
Amber Conklin,"Counselor, LGPC"
Amber Frazier,"Clinical Social Work/Therapist, LCSW-C, RBT"
Amber Gray,"Counselor, LCPC, NCC"
Amber Groomes,"Psychologist, PhD"
Amber Hager,"Psychologist, PhD"
Amber Hammond,"Clinical Social Work/Therapist, LCSW-C"
Amber L. Abell,"Counselor, BS, MSCP, LCPC"
Amber Lassally,"Clinical Social Work/Therapist, LCSW-C"
Amber Latimore | Mind Body Art Therapy,"MA, LGPC"
Amber Lynn Smith,"Clinical Social Work/Therapist, LCSW-C, LICSW"
Amber M Reed,"Clinical Social Work/Therapist, LCSW-C"
Amber Marcelin-Flynn,"MA, NCC, LCPC"
Amber McCrady Toeller,"Counselor, MA, LPC"
Amber Norville,"Clinical Social Work/Therapist, LCSW, LICSW, LCSW-C"
Amber Young Anxiety And Trauma Specialist,"Counselor, LPC, LCPC, MS, NCC"
Amberleigh Yoegel,"Licensed Clinical Professional Counselor, LCPC"
Ambresha Wilder,"Clinical Social Work/Therapist, LMSW, LCDC-I"
Ameen Lamb,Pre-Licensed Professional
Ameka Smith,"Marriage & Family Therapist Intern, MFT-IT"
Amelia Hutchins,"Clinical Social Work/Therapist, LCSW-C"
Amelia Nigro,"Clinical Social Work/Therapist, MSW, LCSW-C, C-DBT"
America Caballero / Integrity Counseling,"Counselor, MS, LCPC"
Amethyst Counseling and Consulting,"Clinical Social Work/Therapist, PhD, LCSW, LICSW"
Ami Kernan,"Clinical Social Work/Therapist, LGSW, MSW"
Amie Bereson,"Licensed Clinical Professional Counselor, LCPC, NCC"
Amie C Myrick,"Licensed Clinical Professional Counselor, MS, LCPC"
Amie Post,"Marriage & Family Therapist, MA, LCMFT"
Amina Avion,Psychological Associate
Amindset Social,"Clinical Social Work/Therapist, LCSW"
Amira Boylston,"Psychological Associate, PhD, NCSP"
Amira M Bailey,"Counselor, MS, BS, NCC"
Amit Shahane,"Psychologist, PhD, ABPP"
Amorous Therapeutic Wellness,"Clinical Social Work/Therapist, LMSW, CTP"
Amr El-Beshir,"Clinical Social Work/Therapist, LGPC"
Amritha Sridhar,"Clinical Social Work/Therapist, LMSW"
Amy Altman,Clinical Social Work/Therapist
Amy Askew,"Counselor, LCPC, MS, IFS"
Amy B Livingood,"Psychologist, PhD"
Amy Bergstrom,"Licensed Professional Counselor, LPC, LCPC, MA"
Amy Bibb-Ford,"Clinical Social Work/Therapist, LCSW, LCSW-C"
Amy Bibb-Ford,"Clinical Social Work/Therapist, LCSW-C, LCSW"
Amy Bibb-Ford,"Clinical Social Work/Therapist, LCSW-C"
Amy Blazek,Licensed Clinical Professional Counselor
Amy Bogdon-Abrams,"Clinical Social Work/Therapist, LCSW-C"
Amy E. Goldfrank,"Clinical Social Work/Therapist, LCSW-C, LICSW, LCSW, JD"
Amy F Scott,"Clinical Social Work/Therapist, MSW, LICSW"
Amy G Nash,"Counselor, MS, LCPC, NCC"
Amy Gooding,"Psychologist, PsyD"
Amy Greaser,"Licensed Clinical Professional Counselor, LCPC"
Amy Greene,"Clinical Social Work/Therapist, LICSW, LCSW-C, MPH"
Amy H Gates,"Clinical Social Work/Therapist, MSW, LCSW-C"
Amy Haesler,"Clinical Social Work/Therapist, LMSW"
